Datetime,Key,Number,Action,Time,Mistakes
2023-12-22 14:55:06.049,N/A,N/A,start,N/A,N/A
2023-12-22 14:55:07.132,o,1,pressed,65,0
2023-12-22 14:55:07.315,o,1,released,76,0
2023-12-22 14:55:07.782,t,2,pressed,104,0
2023-12-22 14:55:08.049,t,2,released,120,0
2023-12-22 14:55:08.299,k,3,pressed,135,0
2023-12-22 14:55:08.465,k,3,released,145,0
2023-12-22 14:55:08.982,z,4,pressed,176,0
2023-12-22 14:55:09.199,z,4,released,189,0
2023-12-22 14:55:09.365,v,5,pressed,199,0
2023-12-22 14:55:09.582,v,5,released,212,0
2023-12-22 14:55:09.698,h,6,pressed,219,0
2023-12-22 14:55:09.949,h,6,released,234,0
2023-12-22 14:55:10.032,s,7,pressed,239,0
2023-12-22 14:55:10.331,s,7,released,257,0
2023-12-22 14:55:10.449,q,8,pressed,264,0
2023-12-22 14:55:10.648,q,8,released,276,0
2023-12-22 14:55:11.565,o,1,pressed,331,0
2023-12-22 14:55:11.665,o,1,released,337,1
2023-12-22 14:55:11.932,i,9,pressed,353,1
2023-12-22 14:55:12.031,i,9,released,359,1
2023-12-22 14:55:12.231,w,10,pressed,371,1
2023-12-22 14:55:12.381,w,10,released,380,1
2023-12-22 14:55:12.615,a,11,pressed,394,1
2023-12-22 14:55:12.832,a,11,released,407,1
2023-12-22 14:55:14.131,y,12,pressed,485,1
2023-12-22 14:55:14.348,y,12,released,498,1
2023-12-22 14:55:14.498,r,13,pressed,507,1
2023-12-22 14:55:14.648,r,13,released,516,1
2023-12-22 14:55:16.348,b,14,pressed,618,1
2023-12-22 14:55:16.531,b,14,released,629,1
2023-12-22 14:55:17.347,c,15,pressed,678,1
2023-12-22 14:55:17.514,c,15,released,688,1
2023-12-22 14:55:19.497,p,16,pressed,807,1
2023-12-22 14:55:19.681,p,16,released,818,1
2023-12-22 14:55:20.030,e,17,pressed,839,1
2023-12-22 14:55:20.230,e,17,released,851,1
2023-12-22 14:55:20.364,u,18,pressed,859,1
2023-12-22 14:55:20.564,u,18,released,871,1
2023-12-22 14:55:20.864,g,19,pressed,889,1
2023-12-22 14:55:21.080,g,19,released,902,1
2023-12-22 14:55:21.413,d,20,pressed,922,1
2023-12-22 14:55:21.581,d,20,released,932,1
2023-12-22 14:55:21.830,n,21,pressed,947,1
2023-12-22 14:55:22.047,n,21,released,960,1
2023-12-22 14:55:22.163,l,22,pressed,967,1
2023-12-22 14:55:22.347,l,22,released,978,1
2023-12-22 14:55:22.780,x,23,pressed,1004,1
2023-12-22 14:55:22.997,x,23,released,1017,1
2023-12-22 14:55:23.097,f,24,pressed,1023,1
2023-12-22 14:55:23.330,f,24,released,1037,1
2023-12-22 14:55:23.513,m,25,pressed,1048,1
2023-12-22 14:55:23.680,m,25,released,1058,1
2023-12-22 14:55:23.996,h,6,pressed,1077,1
2023-12-22 14:55:24.213,h,6,released,1090,2
2023-12-22 14:55:24.413,N/A,N/A,end,N/A,N/A
2023-12-22 14:55:29.313,N/A,N/A,start,N/A,N/A
2023-12-22 14:55:29.946,q,1,pressed,38,0
2023-12-22 14:55:30.112,q,1,released,48,0
2023-12-22 14:55:30.213,d,2,pressed,54,0
2023-12-22 14:55:30.429,d,2,released,67,0
2023-12-22 14:55:30.579,y,3,pressed,76,0
2023-12-22 14:55:30.796,y,3,released,89,0
2023-12-22 14:55:30.812,r,24,pressed,90,0
2023-12-22 14:55:31.029,r,24,released,103,1
2023-12-22 14:55:31.213,e,4,pressed,114,1
2023-12-22 14:55:31.395,e,4,released,125,1
2023-12-22 14:55:31.729,o,25,pressed,145,1
2023-12-22 14:55:31.912,o,25,released,156,2
2023-12-22 14:55:32.079,i,5,pressed,166,2
2023-12-22 14:55:32.262,i,5,released,177,2
2023-12-22 14:55:32.962,n,6,pressed,219,2
2023-12-22 14:55:33.162,n,6,released,231,2
2023-12-22 14:55:33.262,z,10,pressed,237,2
2023-12-22 14:55:33.395,z,10,released,245,3
2023-12-22 14:55:33.479,h,8,pressed,250,3
2023-12-22 14:55:33.679,h,8,released,262,4
2023-12-22 14:55:34.262,x,7,pressed,297,4
2023-12-22 14:55:34.461,x,7,released,309,4
2023-12-22 14:55:34.695,g,15,pressed,323,4
2023-12-22 14:55:34.879,g,15,released,334,5
2023-12-22 14:55:35.111,h,8,pressed,348,5
2023-12-22 14:55:35.312,h,8,released,360,5
2023-12-22 14:55:35.528,p,9,pressed,373,5
2023-12-22 14:55:35.761,p,9,released,387,5
2023-12-22 14:55:36.278,z,10,pressed,418,5
2023-12-22 14:55:36.528,z,10,released,433,5
2023-12-22 14:55:36.962,y,3,pressed,459,5
2023-12-22 14:55:37.178,y,3,released,472,6
2023-12-22 14:55:37.445,t,11,pressed,488,6
2023-12-22 14:55:37.661,t,11,released,501,6
2023-12-22 14:55:37.745,b,12,pressed,506,6
2023-12-22 14:55:37.961,b,12,released,519,6
2023-12-22 14:55:39.777,m,13,pressed,628,6
2023-12-22 14:55:39.994,m,13,released,641,6
2023-12-22 14:55:40.144,w,14,pressed,650,6
2023-12-22 14:55:40.361,w,14,released,663,6
2023-12-22 14:55:41.011,g,15,pressed,702,6
2023-12-22 14:55:41.211,g,15,released,714,6
2023-12-22 14:55:41.494,a,16,pressed,731,6
2023-12-22 14:55:41.645,a,16,released,740,6
2023-12-22 14:55:42.528,l,17,pressed,793,6
2023-12-22 14:55:42.711,l,17,released,804,6
2023-12-22 14:55:42.877,k,18,pressed,814,6
2023-12-22 14:55:43.077,k,18,released,826,6
2023-12-22 14:55:43.194,s,19,pressed,833,6
2023-12-22 14:55:43.361,s,19,released,843,6
2023-12-22 14:55:43.644,c,20,pressed,860,6
2023-12-22 14:55:43.811,c,20,released,870,6
2023-12-22 14:55:44.161,u,21,pressed,891,6
2023-12-22 14:55:44.394,u,21,released,905,6
2023-12-22 14:55:44.544,c,20,pressed,914,6
2023-12-22 14:55:44.744,c,20,released,926,7
2023-12-22 14:55:45.045,v,22,pressed,944,7
2023-12-22 14:55:45.261,v,22,released,957,7
2023-12-22 14:55:45.327,j,23,pressed,961,7
2023-12-22 14:55:45.544,j,23,released,974,7
2023-12-22 14:55:45.961,r,24,pressed,999,7
2023-12-22 14:55:46.161,r,24,released,1011,7
2023-12-22 14:55:46.327,o,25,pressed,1021,7
2023-12-22 14:55:46.560,o,25,released,1035,7
2023-12-22 14:55:46.610,d,2,pressed,1038,7
2023-12-22 14:55:46.777,d,2,released,1048,8
2023-12-22 14:55:46.994,N/A,N/A,end,N/A,N/A
2023-12-22 14:55:51.910,N/A,N/A,start,N/A,N/A
2023-12-22 14:55:53.027,o,1,pressed,67,0
2023-12-22 14:55:53.176,o,1,released,76,0
2023-12-22 14:55:53.459,d,2,pressed,93,0
2023-12-22 14:55:53.626,d,2,released,103,0
2023-12-22 14:55:53.843,z,3,pressed,116,0
2023-12-22 14:55:54.059,z,3,released,129,0
2023-12-22 14:55:54.177,j,17,pressed,136,0
2023-12-22 14:55:54.310,j,17,released,144,1
2023-12-22 14:55:54.559,h,4,pressed,159,1
2023-12-22 14:55:54.710,h,4,released,168,1
2023-12-22 14:55:54.793,q,5,pressed,173,1
2023-12-22 14:55:54.909,q,5,released,180,1
2023-12-22 14:55:55.393,x,8,pressed,209,1
2023-12-22 14:55:55.626,x,8,released,223,2
2023-12-22 14:55:55.676,t,7,pressed,226,2
2023-12-22 14:55:55.910,t,7,released,240,3
2023-12-22 14:55:55.993,c,6,pressed,245,3
2023-12-22 14:55:56.176,c,6,released,256,3
2023-12-22 14:55:56.259,t,7,pressed,261,3
2023-12-22 14:55:56.442,t,7,released,272,3
2023-12-22 14:55:56.509,x,8,pressed,276,3
2023-12-22 14:55:56.675,x,8,released,286,3
2023-12-22 14:55:57.043,v,9,pressed,308,3
2023-12-22 14:55:57.242,v,9,released,320,3
2023-12-22 14:55:58.092,n,10,pressed,371,3
2023-12-22 14:55:58.309,n,10,released,384,3
2023-12-22 14:55:58.425,s,11,pressed,391,3
2023-12-22 14:55:58.576,s,11,released,400,3
2023-12-22 14:55:59.342,f,12,pressed,446,3
2023-12-22 14:55:59.492,f,12,released,455,3
2023-12-22 14:55:59.675,g,13,pressed,466,3
2023-12-22 14:55:59.825,g,13,released,475,3
2023-12-22 14:56:00.492,y,14,pressed,515,3
2023-12-22 14:56:00.625,y,14,released,523,3
2023-12-22 14:56:01.342,i,15,pressed,566,3
2023-12-22 14:56:01.492,i,15,released,575,3
2023-12-22 14:56:02.991,e,16,pressed,665,3
2023-12-22 14:56:03.158,e,16,released,675,3
2023-12-22 14:56:03.558,j,17,pressed,699,3
2023-12-22 14:56:03.691,j,17,released,707,3
2023-12-22 14:56:03.892,m,18,pressed,719,3
