Datetime,Key,Number,Action,Time,Mistakes
2023-11-06 10:27:27.717,N/A,N/A,start,N/A,N/A
2023-11-06 10:27:28.683,x,1,pressed,58,0
2023-11-06 10:27:28.832,x,1,released,67,0
2023-11-06 10:27:29.017,r,25,pressed,78,0
2023-11-06 10:27:29.183,r,25,released,88,1
2023-11-06 10:27:29.583,e,2,pressed,112,1
2023-11-06 10:27:29.749,e,2,released,122,1
2023-11-06 10:27:30.266,o,3,pressed,153,1
2023-11-06 10:27:30.666,o,3,released,177,1
2023-11-06 10:27:30.749,m,4,pressed,182,1
2023-11-06 10:27:30.999,m,4,released,197,1
2023-11-06 10:27:31.166,t,21,pressed,207,1
2023-11-06 10:27:31.283,t,21,released,214,2
2023-11-06 10:27:31.666,y,5,pressed,237,2
2023-11-06 10:27:31.799,y,5,released,245,2
2023-11-06 10:27:32.116,w,6,pressed,264,2
2023-11-06 10:27:32.332,w,6,released,277,2
2023-11-06 10:27:32.866,p,7,pressed,309,2
2023-11-06 10:27:33.049,p,7,released,320,2
2023-11-06 10:27:33.465,a,8,pressed,345,2
2023-11-06 10:27:33.632,a,8,released,355,2
2023-11-06 10:27:33.982,h,16,pressed,376,2
2023-11-06 10:27:34.149,h,16,released,386,3
2023-11-06 10:27:34.399,g,9,pressed,401,3
2023-11-06 10:27:34.599,g,9,released,413,3
2023-11-06 10:27:36.199,q,10,pressed,509,3
2023-11-06 10:27:36.382,q,10,released,520,3
2023-11-06 10:27:36.599,u,11,pressed,533,3
2023-11-06 10:27:36.748,u,11,released,542,3
2023-11-06 10:27:38.098,b,12,pressed,623,3
2023-11-06 10:27:38.298,b,12,released,635,3
2023-11-06 10:27:39.414,i,13,pressed,702,3
2023-11-06 10:27:39.547,i,13,released,710,3
2023-11-06 10:27:40.215,c,18,pressed,750,3
2023-11-06 10:27:40.431,c,18,released,763,4
2023-11-06 10:27:40.581,v,14,pressed,772,4
2023-11-06 10:27:40.764,v,14,released,783,4
2023-11-06 10:27:41.298,z,15,pressed,815,4
2023-11-06 10:27:41.464,z,15,released,825,4
2023-11-06 10:27:41.898,h,16,pressed,851,4
2023-11-06 10:27:42.097,h,16,released,863,4
2023-11-06 10:27:42.481,s,17,pressed,886,4
2023-11-06 10:27:42.631,s,17,released,895,4
2023-11-06 10:27:43.047,c,18,pressed,920,4
2023-11-06 10:27:43.283,c,18,released,934,4
2023-11-06 10:27:43.564,j,19,pressed,951,4
2023-11-06 10:27:43.747,j,19,released,962,4
2023-11-06 10:27:43.931,n,20,pressed,973,4
2023-11-06 10:27:44.114,n,20,released,984,4
2023-11-06 10:27:44.364,t,21,pressed,999,4
2023-11-06 10:27:44.514,t,21,released,1008,4
2023-11-06 10:27:44.931,s,17,pressed,1033,4
2023-11-06 10:27:45.081,s,17,released,1042,5
2023-11-06 10:27:45.464,d,22,pressed,1065,5
2023-11-06 10:27:45.598,f,23,pressed,1073,5
2023-11-06 10:27:45.631,d,22,released,1075,5
2023-11-06 10:27:45.797,f,23,released,1085,5
2023-11-06 10:27:46.197,k,24,pressed,1109,5
2023-11-06 10:27:46.331,k,24,released,1117,5
2023-11-06 10:27:46.530,e,2,pressed,1129,5
2023-11-06 10:27:46.697,l,26,pressed,1139,6
2023-11-06 10:27:46.880,l,26,released,1150,7
2023-11-06 10:27:47.164,r,25,pressed,1167,7
2023-11-06 10:27:47.314,r,25,released,1176,7
2023-11-06 10:27:47.397,N/A,N/A,end,N/A,N/A
2023-11-06 10:27:53.147,N/A,N/A,start,N/A,N/A
2023-11-06 10:27:54.213,k,3,pressed,64,0
2023-11-06 10:27:54.330,k,3,released,71,1
2023-11-06 10:27:54.497,j,1,pressed,81,1
2023-11-06 10:27:54.647,j,1,released,90,1
2023-11-06 10:27:55.147,d,23,pressed,120,1
2023-11-06 10:27:55.280,k,3,pressed,128,2
2023-11-06 10:27:55.313,d,23,released,130,3
2023-11-06 10:27:55.513,k,3,released,142,3
2023-11-06 10:27:55.879,d,23,pressed,164,3
2023-11-06 10:27:56.063,d,23,released,175,4
2023-11-06 10:27:56.329,s,2,pressed,191,4
2023-11-06 10:27:56.479,s,2,released,200,4
2023-11-06 10:27:56.563,l,22,pressed,205,4
2023-11-06 10:27:56.746,l,22,released,216,5
2023-11-06 10:27:56.930,k,3,pressed,227,5
2023-11-06 10:27:57.096,k,3,released,237,5
2023-11-06 10:27:57.279,a,4,pressed,248,5
2023-11-06 10:27:57.446,a,4,released,258,5
2023-11-06 10:27:58.546,t,5,pressed,324,5
2023-11-06 10:27:58.746,t,5,released,336,5
2023-11-06 10:27:59.346,c,6,pressed,372,5
2023-11-06 10:27:59.579,c,6,released,386,5
2023-11-06 10:27:59.796,q,7,pressed,399,5
2023-11-06 10:27:59.963,q,7,released,409,5
2023-11-06 10:28:00.630,o,13,pressed,449,5
2023-11-06 10:28:00.845,o,13,released,462,6
2023-11-06 10:28:01.063,p,8,pressed,475,6
2023-11-06 10:28:01.263,p,8,released,487,6
2023-11-06 10:28:01.812,x,12,pressed,520,6
2023-11-06 10:28:02.012,x,12,released,532,7
2023-11-06 10:28:02.179,z,9,pressed,542,7
2023-11-06 10:28:02.346,z,9,released,552,7
2023-11-06 10:28:02.746,w,10,pressed,576,7
2023-11-06 10:28:02.929,w,10,released,587,7
2023-11-06 10:28:03.512,n,20,pressed,622,7
2023-11-06 10:28:03.729,n,20,released,635,8
2023-11-06 10:28:03.912,b,11,pressed,646,8
2023-11-06 10:28:04.079,b,11,released,656,8
2023-11-06 10:28:04.912,x,12,pressed,706,8
2023-11-06 10:28:05.096,x,12,released,717,8
2023-11-06 10:28:05.428,o,13,pressed,737,8
2023-11-06 10:28:05.628,o,13,released,749,8
2023-11-06 10:28:07.262,u,14,pressed,847,8
2023-11-06 10:28:07.462,u,14,released,859,8
2023-11-06 10:28:07.895,w,10,pressed,885,8
