Run Start Time,Total Time Taken (ms),Total Mistakes
2023-11-07 22:31:08.316,20181.0,7.0
2023-11-07 22:31:34.129,19564.0,7.0
2023-11-07 22:31:59.209,18881.0,5.0
2023-11-07 22:32:23.373,19399.0,5.0
2023-11-07 22:33:04.920,16280.999999999998,2.0
2023-11-07 22:33:52.979,21847.0,8.0
2023-11-07 22:34:20.025,21328.0,6.0
2023-11-07 22:35:04.033,18698.0,8.0
2023-11-07 22:35:27.930,21866.0,7.0
2023-11-07 22:37:19.934,20446.0,2.0
2023-11-07 22:37:45.680,19147.0,4.0
2023-11-07 22:38:10.360,18647.0,6.0
2023-11-07 22:38:33.956,18748.0,4.0
2023-11-07 22:38:57.920,23580.0,4.0
2023-11-07 22:39:26.566,21595.0,5.0
2023-11-07 22:39:53.127,17314.0,4.0
2023-11-07 22:40:15.624,19299.0,14.0
2023-11-07 22:40:39.872,19081.0,3.0
2023-11-07 22:41:04.203,14615.0,6.0
2023-11-07 22:41:24.050,21062.0,5.0
2023-11-07 22:41:50.212,16498.0,5.0
2023-11-07 22:42:11.709,14214.0,2.0
2023-11-07 22:42:31.123,20513.0,4.0
2023-11-07 22:42:56.685,20131.0,7.0
2023-11-07 22:43:22.032,20966.0,6.0
2023-11-07 22:43:48.047,17548.0,13.0
2023-11-07 22:44:10.711,16764.0,4.0
2023-11-07 22:44:32.824,19314.0,9.0
2023-11-07 22:44:57.105,19763.0,5.0
2023-11-07 22:45:21.768,16778.0,8.0
2023-11-07 22:45:43.495,19581.0,8.0
2023-11-07 22:46:08.092,22897.0,4.0
2023-11-07 22:46:35.958,19397.0,4.0
2023-11-07 22:47:00.421,20781.0,6.0
2023-11-07 22:47:26.151,18313.0,2.0
2023-11-07 22:47:49.497,21229.0,4.0
2023-11-07 22:48:15.393,20246.0,2.0
2023-11-07 22:49:07.101,17815.0,4.0
2023-11-07 22:49:29.882,19864.0,5.0
2023-11-07 22:49:54.745,15848.0,5.0
2023-11-07 22:50:15.559,21396.0,6.0
2023-11-07 22:50:42.920,19681.0,1.0
2023-11-07 22:51:07.550,22930.0,7.0
2023-11-07 22:51:35.433,20797.0,7.0
2023-11-07 22:52:01.146,22097.0,3.0
2023-11-07 22:52:28.592,23611.0,7.0
2023-11-07 22:52:57.202,20631.0,3.0
2023-11-07 22:53:22.849,15499.0,2.0
2023-11-07 22:53:43.431,17365.0,4.0
2023-11-07 22:54:05.812,17397.0,3.0
2023-11-07 22:54:28.158,20648.0,6.0
2023-11-07 22:54:53.655,19380.0,0.0
2023-11-07 22:55:18.185,23311.0,10.0
2023-11-07 22:55:46.479,19565.0,5.0
2023-11-07 22:56:11.292,18448.0,6.0
2023-11-07 22:56:34.822,20497.0,2.0
2023-11-07 22:57:00.335,21280.0,5.0
2023-11-07 22:57:26.664,23550.0,4.0
2023-11-07 22:57:55.213,24880.0,6.0
2023-11-07 22:58:49.623,18114.0,5.0
2023-11-07 22:59:16.453,19029.0,2.0
2023-11-07 22:59:40.465,16381.0,5.0
2023-11-07 23:00:01.846,16531.0,1.0
2023-11-07 23:00:23.693,20196.0,6.0
2023-11-07 23:00:49.238,17197.0,6.0
