Datetime,Key,Number,Action,Time,Mistakes
2023-12-27 17:27:59.245,N/A,N/A,start,N/A,N/A
2023-12-27 17:28:00.479,c,1,pressed,74,0
2023-12-27 17:28:00.595,c,1,released,81,0
2023-12-27 17:28:00.662,x,2,pressed,85,0
2023-12-27 17:28:00.829,x,2,released,95,0
2023-12-27 17:28:00.978,s,3,pressed,104,0
2023-12-27 17:28:01.129,s,3,released,113,0
2023-12-27 17:28:01.396,h,4,pressed,129,0
2023-12-27 17:28:01.545,h,4,released,138,0
2023-12-27 17:28:01.712,g,5,pressed,148,0
2023-12-27 17:28:01.862,j,6,pressed,157,0
2023-12-27 17:28:01.878,g,5,released,158,0
2023-12-27 17:28:02.045,j,6,released,168,0
2023-12-27 17:28:02.362,p,7,pressed,187,0
2023-12-27 17:28:02.544,q,8,pressed,198,0
2023-12-27 17:28:02.545,p,7,released,198,0
2023-12-27 17:28:02.695,q,8,released,207,0
2023-12-27 17:28:02.779,u,9,pressed,212,0
2023-12-27 17:28:02.945,u,9,released,222,0
2023-12-27 17:28:03.511,f,10,pressed,256,0
2023-12-27 17:28:03.644,f,10,released,264,0
2023-12-27 17:28:04.528,o,11,pressed,317,0
2023-12-27 17:28:04.695,o,11,released,327,0
2023-12-27 17:28:05.061,n,12,pressed,349,0
2023-12-27 17:28:05.278,n,12,released,362,0
2023-12-27 17:28:05.361,l,13,pressed,367,0
2023-12-27 17:28:05.544,l,13,released,378,0
2023-12-27 17:28:05.811,w,14,pressed,394,0
2023-12-27 17:28:06.011,w,14,released,406,0
2023-12-27 17:28:07.561,z,15,pressed,499,0
2023-12-27 17:28:07.744,z,15,released,510,0
2023-12-27 17:28:08.594,n,12,pressed,560,0
2023-12-27 17:28:08.778,n,12,released,571,1
2023-12-27 17:28:09.044,b,16,pressed,587,1
2023-12-27 17:28:09.211,b,16,released,597,1
2023-12-27 17:28:09.244,e,17,pressed,599,1
2023-12-27 17:28:09.378,e,17,released,607,1
2023-12-27 17:28:10.044,i,18,pressed,647,1
2023-12-27 17:28:10.278,i,18,released,661,1
2023-12-27 17:28:10.294,k,19,pressed,662,1
2023-12-27 17:28:10.427,k,19,released,670,1
2023-12-27 17:28:10.844,d,20,pressed,695,1
2023-12-27 17:28:10.994,d,20,released,704,1
2023-12-27 17:28:11.277,v,21,pressed,721,1
2023-12-27 17:28:11.461,v,21,released,732,1
2023-12-27 17:28:12.127,a,22,pressed,772,1
2023-12-27 17:28:12.294,a,22,released,782,1
2023-12-27 17:28:12.394,t,26,pressed,788,1
2023-12-27 17:28:12.593,t,26,released,800,2
2023-12-27 17:28:12.660,m,24,pressed,804,2
2023-12-27 17:28:12.743,m,24,released,809,3
2023-12-27 17:28:13.294,y,23,pressed,842,3
2023-12-27 17:28:13.476,m,24,pressed,853,3
2023-12-27 17:28:13.644,m,24,released,863,3
2023-12-27 17:28:13.943,e,17,pressed,881,3
2023-12-27 17:28:14.060,e,17,released,888,4
2023-12-27 17:28:14.360,r,25,pressed,906,4
2023-12-27 17:28:14.444,N/A,N/A,end,N/A,N/A
2023-12-27 17:28:21.226,N/A,N/A,start,N/A,N/A
2023-12-27 17:28:22.026,c,1,pressed,48,0
2023-12-27 17:28:22.209,c,1,released,59,0
2023-12-27 17:28:22.925,o,2,pressed,102,0
2023-12-27 17:28:23.076,o,2,released,111,0
2023-12-27 17:28:23.242,x,3,pressed,121,0
2023-12-27 17:28:23.392,x,3,released,130,0
2023-12-27 17:28:23.492,z,4,pressed,136,0
2023-12-27 17:28:23.659,z,4,released,146,0
2023-12-27 17:28:23.809,w,5,pressed,155,0
2023-12-27 17:28:23.992,w,5,released,166,0
2023-12-27 17:28:24.275,k,6,pressed,183,0
2023-12-27 17:28:24.409,k,6,released,191,0
2023-12-27 17:28:24.725,g,7,pressed,210,0
2023-12-27 17:28:24.892,g,7,released,220,0
2023-12-27 17:28:25.059,t,8,pressed,230,0
2023-12-27 17:28:25.242,t,8,released,241,0
2023-12-27 17:28:25.275,m,14,pressed,243,0
2023-12-27 17:28:25.442,m,14,released,253,1
2023-12-27 17:28:25.708,n,9,pressed,269,1
2023-12-27 17:28:25.858,n,9,released,278,1
2023-12-27 17:28:25.958,j,10,pressed,284,1
2023-12-27 17:28:26.125,j,10,released,294,1
2023-12-27 17:28:26.658,a,11,pressed,326,1
2023-12-27 17:28:26.825,a,11,released,336,1
2023-12-27 17:28:26.942,s,12,pressed,343,1
2023-12-27 17:28:27.092,s,12,released,352,1
2023-12-27 17:28:27.575,l,13,pressed,381,1
2023-12-27 17:28:27.709,l,13,released,389,1
2023-12-27 17:28:27.925,m,14,pressed,402,1
2023-12-27 17:28:28.074,m,14,released,411,1
2023-12-27 17:28:29.241,q,15,pressed,481,1
2023-12-27 17:28:29.409,q,15,released,491,1
2023-12-27 17:28:29.708,u,18,pressed,509,1
2023-12-27 17:28:29.825,u,18,released,516,2
2023-12-27 17:28:30.075,y,16,pressed,531,2
2023-12-27 17:28:30.224,y,16,released,540,2
2023-12-27 17:28:30.241,h,17,pressed,541,2
2023-12-27 17:28:30.374,h,17,released,549,2
2023-12-27 17:28:30.508,u,18,pressed,557,2
2023-12-27 17:28:30.658,u,18,released,566,2
2023-12-27 17:28:31.257,r,19,pressed,602,2
2023-12-27 17:28:31.458,r,19,released,614,2
2023-12-27 17:28:31.608,i,20,pressed,623,2
2023-12-27 17:28:31.774,i,20,released,633,2
2023-12-27 17:28:31.941,n,9,pressed,643,2
2023-12-27 17:28:32.124,n,9,released,654,3
2023-12-27 17:28:32.591,b,21,pressed,682,3
2023-12-27 17:28:32.741,b,21,released,691,3
2023-12-27 17:28:32.841,f,22,pressed,697,3
2023-12-27 17:28:33.024,f,22,released,708,3
2023-12-27 17:28:33.141,e,23,pressed,715,3
2023-12-27 17:28:33.358,e,23,released,728,3
2023-12-27 17:28:33.474,v,24,pressed,735,3
2023-12-27 17:28:33.707,d,25,pressed,749,3
2023-12-27 17:28:33.724,v,24,released,750,3
2023-12-27 17:28:33.974,d,25,released,765,3
2023-12-27 17:28:34.057,N/A,N/A,end,N/A,N/A
2023-12-27 17:28:38.790,N/A,N/A,start,N/A,N/A
2023-12-27 17:28:39.407,s,1,pressed,37,0
2023-12-27 17:28:39.507,s,1,released,43,0
2023-12-27 17:28:39.707,r,2,pressed,55,0
2023-12-27 17:28:39.907,r,2,released,67,0
2023-12-27 17:28:39.990,w,3,pressed,72,0
2023-12-27 17:28:40.140,w,3,released,81,0
2023-12-27 17:28:40.374,d,4,pressed,95,0
2023-12-27 17:28:40.574,d,4,released,107,0
2023-12-27 17:28:40.856,u,17,pressed,124,0
2023-12-27 17:28:41.006,u,17,released,133,1
2023-12-27 17:28:41.290,y,5,pressed,150,1
2023-12-27 17:28:41.474,y,5,released,161,1
2023-12-27 17:28:41.740,o,6,pressed,177,1
2023-12-27 17:28:41.974,o,6,released,191,1
2023-12-27 17:28:42.173,j,7,pressed,203,1
2023-12-27 17:28:42.323,j,7,released,212,1
2023-12-27 17:28:42.907,z,8,pressed,247,1
2023-12-27 17:28:43.090,z,8,released,258,1
2023-12-27 17:28:43.190,f,9,pressed,264,1
2023-12-27 17:28:43.390,f,9,released,276,1
2023-12-27 17:28:43.589,b,25,pressed,288,1
